actual_max_capacity_Ah,avg_speed_kmh,vehicle_name,nominal_capacity_Ah,id,timestamp_s,regenerative_braking_Ah,mileage_km,motor_rpm,car_id,id_segment,accelerator_pedal_pct,min_single_volt_V,max_temp_C,volt_V,label,brake_pedal_pct,payload_kg,charger_connected,soc_pct,min_temp_C,hvac_active,car_model,gear_position,current_A,max_single_volt_V
202.74,32.0,EV_104,210.0,DR754088,310,0.0,44425.18,2200.0,EV_104,DR754088_7,65.0,4.038,65.0,367.851,0.0,0.0,57.86,0,67.62,64.37,1,SimuProA-4,D,78.0,4.048
202.74,36.0,EV_104,210.0,DR754088,320,0.0,44425.28,2450.0,EV_104,DR754088_7,68.0,4.035,65.0,365.851,0.0,0.0,57.86,0,67.55,64.4,1,SimuProA-4,D,85.0,4.045
202.74,42.0,EV_104,210.0,DR754088,330,0.0,44425.4,2900.0,EV_104,DR754088_7,72.0,4.032,65.0,363.652,0.0,0.0,57.86,0,67.47,64.42,1,SimuProA-4,D,92.0,4.042
202.74,48.0,EV_104,210.0,DR754088,340,0.0,44425.53,3300.0,EV_104,DR754088_7,75.0,4.03,65.0,362.932,0.0,0.0,57.86,0,67.45,64.44,1,SimuProA-4,D,95.0,4.04
202.74,35.0,EV_104,210.0,DR754088,350,0.0,44425.63,2300.0,EV_104,DR754088_7,35.0,4.041,65.0,368.014,0.0,0.0,57.86,0,67.42,64.47,1,SimuProA-4,D,45.0,4.048
202.74,28.0,EV_104,210.0,DR754088,360,0.0,44425.71,1850.0,EV_104,DR754088_7,25.0,4.042,65.0,369.691,0.0,15.0,57.86,0,67.38,64.49,1,SimuProA-4,D,35.0,4.05
202.74,22.0,EV_104,210.0,DR754088,370,0.0,44425.77,1450.0,EV_104,DR754088_7,15.0,4.044,65.0,371.084,0.0,30.0,57.86,0,67.36,64.51,1,SimuProA-4,D,22.0,4.052
202.74,15.0,EV_104,210.0,DR754088,380,0.001,44425.81,1000.0,EV_104,DR754088_7,5.0,4.046,65.0,372.739,0.0,45.0,57.86,0,67.36,64.53,1,SimuProA-4,D,12.0,4.054
202.74,8.0,EV_104,210.0,DR754088,390,0.001,44425.83,550.0,EV_104,DR754088_7,0.0,4.047,65.0,373.871,0.0,60.0,57.86,0,67.32,64.54,1,SimuProA-4,D,5.0,4.055
202.74,0.0,EV_104,210.0,DR754088,400,0.002,44425.83,0.0,EV_104,DR754088_7,0.0,4.048,65.0,375.891,0.0,75.0,57.86,0,67.3,64.55,1,SimuProA-4,D,2.0,4.056
202.74,0.0,EV_104,210.0,DR754088,410,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.049,65.0,375.495,0.0,70.0,57.86,0,67.27,64.58,1,SimuProA-4,D,12.0,4.057
202.74,0.0,EV_104,210.0,DR754088,420,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.049,65.0,376.399,0.0,75.0,57.86,0,67.27,64.6,1,SimuProA-4,D,6.5,4.057
202.74,0.0,EV_104,210.0,DR754088,430,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.049,65.0,374.675,0.0,80.0,57.86,0,67.27,64.62,1,SimuProA-4,D,10.0,4.057
202.74,0.0,EV_104,210.0,DR754088,440,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.05,65.0,375.324,0.0,75.0,57.86,0,67.27,64.63,1,SimuProA-4,D,4.5,4.058
202.74,0.0,EV_104,210.0,DR754088,450,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.051,65.0,375.287,0.0,72.0,57.86,0,67.27,64.65,1,SimuProA-4,D,5.5,4.059
202.74,0.0,EV_104,210.0,DR754088,460,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.052,65.0,375.753,0.0,78.0,57.86,0,67.26,64.67,1,SimuProA-4,D,5.0,4.06
202.74,0.0,EV_104,210.0,DR754088,470,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.053,65.0,375.731,0.0,76.0,57.86,0,67.24,64.68,1,SimuProA-4,D,5.2,4.061
202.74,0.0,EV_104,210.0,DR754088,480,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.053,65.0,376.209,0.0,74.0,57.86,0,67.23,64.69,1,SimuProA-4,D,4.8,4.061
202.74,0.0,EV_104,210.0,DR754088,490,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.054,65.0,375.447,0.0,77.0,57.86,0,67.22,64.71,1,SimuProA-4,D,4.9,4.062
202.74,0.0,EV_104,210.0,DR754088,500,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.054,65.0,376.096,0.0,75.0,57.86,0,67.19,64.72,1,SimuProA-4,D,5.1,4.062
202.74,0.0,EV_104,210.0,DR754088,510,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.055,65.0,375.404,0.0,79.0,57.86,0,67.18,64.73,1,SimuProA-4,D,5.0,4.063
202.74,0.0,EV_104,210.0,DR754088,520,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.055,65.0,375.227,0.0,78.0,57.86,0,67.14,64.74,1,SimuProA-4,D,5.3,4.063
202.74,0.0,EV_104,210.0,DR754088,530,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.055,65.0,374.493,0.0,80.0,57.86,0,67.12,64.75,1,SimuProA-4,D,5.2,4.063
202.74,0.0,EV_104,210.0,DR754088,540,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.055,65.0,375.182,0.0,76.0,57.86,0,67.12,64.76,1,SimuProA-4,D,5.4,4.063
202.74,0.0,EV_104,210.0,DR754088,550,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.055,65.0,374.954,0.0,77.0,57.86,0,67.11,64.77,1,SimuProA-4,D,5.1,4.063
202.74,0.0,EV_104,210.0,DR754088,560,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.056,65.0,375.006,0.0,78.0,57.86,0,67.11,64.78,1,SimuProA-4,D,5.2,4.064
202.74,0.0,EV_104,210.0,DR754088,570,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.056,65.0,375.338,0.0,79.0,57.86,0,67.1,64.79,1,SimuProA-4,D,5.5,4.064
202.74,0.0,EV_104,210.0,DR754088,580,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.056,65.0,374.596,0.0,81.0,57.86,0,67.08,64.8,1,SimuProA-4,D,5.3,4.064
202.74,0.0,EV_104,210.0,DR754088,590,0.0,44425.83,0.0,EV_104,DR754088_7,0.0,4.056,65.0,375.071,0.0,82.0,57.86,0,67.07,64.81,1,SimuProA-4,D,5.0,4.064
202.74,12.5,EV_104,210.0,DR754088,600,0.0,44425.87,1800.0,EV_104,DR754088_7,45.0,4.057,65.0,374.858,0.0,0.0,57.86,0,67.05,64.82,1,SimuProA-4,D,65.0,4.065
202.74,25.0,EV_104,210.0,DR754088,610,0.0,44425.94,3200.0,EV_104,DR754088_7,55.0,4.058,65.0,372.606,0.0,0.0,57.86,0,67.02,64.83,1,SimuProA-4,D,85.0,4.066
