volt_V,accelerator_pedal_pct,payload_kg,motor_rpm,charger_connected,min_single_volt_V,hvac_active,soc_pct,max_single_volt_V,avg_speed_kmh,current_A,nominal_capacity_Ah,vehicle_name,regenerative_braking_Ah,timestamp_s,brake_pedal_pct,id_segment,min_temp_C,mileage_km,id,actual_max_capacity_Ah,label,max_temp_C,gear_position,car_model,car_id
353.143,46.0,83.87,5287.0,0,4.068,1,44.43,4.148,117.5,138.5,185.0,EV_108,0.0,220,0.0,DR624372_26,65.0,27374.11,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
348.119,62.0,83.87,5400.0,0,4.072,1,44.35,4.152,120.0,172.3,185.0,EV_108,0.0,230,0.0,DR624372_26,65.0,27374.44,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
355.031,44.0,83.87,5256.0,0,4.065,1,44.31,4.145,116.8,128.7,185.0,EV_108,0.0,240,0.0,DR624372_26,65.0,27374.76,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
352.892,48.0,83.87,5332.0,0,4.072,1,44.28,4.15,118.5,135.2,185.0,EV_108,0.0,250,0.0,DR624372_26,65.0,27375.09,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
346.455,59.0,83.87,5400.0,0,4.065,1,44.24,4.148,119.9,175.8,185.0,EV_108,0.0,260,0.0,DR624372_26,65.0,27375.42,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
353.926,42.0,83.87,5157.0,0,4.075,1,44.19,4.152,114.6,122.5,185.0,EV_108,0.0,270,0.0,DR624372_26,65.0,27375.74,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
349.806,45.0,83.87,5235.0,0,4.07,1,44.13,4.15,116.2,132.4,185.0,EV_108,0.0,280,0.0,DR624372_26,65.0,27376.06,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
348.023,52.0,83.87,5332.0,0,4.068,1,44.1,4.148,118.5,155.6,185.0,EV_108,0.0,290,0.0,DR624372_26,65.0,27376.39,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
352.458,40.0,83.87,5061.0,0,4.073,1,44.07,4.151,112.4,125.8,185.0,EV_108,0.0,300,0.0,DR624372_26,65.0,27376.7,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
348.663,48.0,83.87,5169.0,0,4.071,1,44.03,4.152,114.8,145.3,185.0,EV_108,0.0,310,0.0,DR624372_26,65.0,27377.02,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
346.698,55.0,83.87,5290.0,0,4.069,1,44.01,4.155,117.5,162.1,185.0,EV_108,0.0,320,0.0,DR624372_26,65.0,27377.35,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
351.557,38.0,83.87,4960.0,0,4.076,1,43.98,4.158,110.2,118.4,185.0,EV_108,0.0,330,0.0,DR624372_26,65.0,27377.65,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
347.747,50.0,83.87,5184.0,0,4.07,1,43.93,4.156,115.2,158.4,185.0,EV_108,0.0,340,0.0,DR624372_26,65.0,27377.97,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
349.566,42.0,83.87,4887.0,0,4.074,1,43.92,4.159,108.6,132.7,185.0,EV_108,0.0,350,0.0,DR624372_26,65.0,27378.27,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
346.68,58.0,83.87,5391.0,0,4.067,1,43.88,4.161,119.8,165.9,185.0,EV_108,0.0,360,0.0,DR624372_26,65.0,27378.6,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
347.986,44.0,83.87,5058.0,0,4.072,1,43.83,4.157,112.4,145.2,185.0,EV_108,0.0,370,0.0,DR624372_26,65.0,27378.91,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
345.503,62.0,83.87,5422.0,0,4.065,1,43.82,4.162,120.5,172.5,185.0,EV_108,0.0,380,0.0,DR624372_26,65.0,27379.25,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
352.402,0.0,83.87,4761.0,0,4.078,1,43.79,4.164,105.8,-15.4,185.0,EV_108,0.04,390,12.0,DR624372_26,65.0,27379.54,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
350.151,38.0,83.87,4779.0,0,4.075,1,43.76,4.16,106.2,115.4,185.0,EV_108,0.0,400,0.0,DR624372_26,65.0,27379.83,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
348.502,52.0,83.87,5211.0,0,4.071,1,43.74,4.163,115.8,142.6,185.0,EV_108,0.0,410,0.0,DR624372_26,65.0,27380.16,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
347.025,55.0,83.87,5332.0,0,4.068,1,43.74,4.165,118.5,158.3,185.0,EV_108,0.0,420,0.0,DR624372_26,65.0,27380.49,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
345.484,53.0,83.87,5229.0,0,4.062,1,43.71,4.168,116.2,165.0,185.0,EV_108,0.0,430,0.0,DR624372_26,65.0,27380.81,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
348.358,40.0,83.87,4882.0,0,4.068,1,43.71,4.165,108.5,120.0,185.0,EV_108,0.0,440,0.0,DR624372_26,65.0,27381.11,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
346.81,58.0,83.87,5391.0,0,4.06,1,43.69,4.17,119.8,155.0,185.0,EV_108,0.0,450,0.0,DR624372_26,65.0,27381.45,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
344.314,65.0,83.87,5400.0,0,4.055,1,43.67,4.172,120.0,175.5,185.0,EV_108,0.0,460,0.0,DR624372_26,65.0,27381.78,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
345.47,45.0,83.87,5058.0,0,4.06,1,43.67,4.17,112.4,135.2,185.0,EV_108,0.0,470,0.0,DR624372_26,65.0,27382.1,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
347.311,35.0,83.87,4612.0,0,4.065,1,43.65,4.168,102.5,95.8,185.0,EV_108,0.0,480,0.0,DR624372_26,65.0,27382.38,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
348.44,38.0,83.87,4734.0,0,4.064,1,43.62,4.169,105.2,88.5,185.0,EV_108,0.0,490,0.0,DR624372_26,65.0,27382.67,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
346.369,55.0,83.87,5166.0,0,4.062,1,43.62,4.171,114.8,142.3,185.0,EV_108,0.0,500,0.0,DR624372_26,65.0,27382.99,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
349.256,0.0,83.87,4522.0,0,4.066,1,43.61,4.173,100.5,-15.4,185.0,EV_108,0.04,510,12.0,DR624372_26,65.0,27383.27,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
350.397,32.0,83.87,4887.0,0,4.067,1,43.57,4.175,108.6,85.3,185.0,EV_108,0.0,520,0.0,DR624372_26,65.0,27383.57,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
346.425,68.0,83.87,5319.0,0,4.061,1,43.55,4.178,118.2,148.7,185.0,EV_108,0.0,530,0.0,DR624372_26,65.0,27383.9,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
349.328,36.0,83.87,4972.0,0,4.064,1,43.54,4.176,110.5,92.1,185.0,EV_108,0.0,540,0.0,DR624372_26,65.0,27384.21,DR624372,182.02,0.0,65.0,D,SimuProB-3,EV_108
