id,id_segment,volt_V,current_A,soc_pct,max_single_volt_V,min_single_volt_V,max_temp_C,min_temp_C,timestamp_s,avg_speed_kmh,hvac_active,payload_kg,regenerative_braking_Ah,motor_rpm,gear_position,accelerator_pedal_pct,brake_pedal_pct,charger_connected,label,car_id,car_model,mileage_km,actual_max_capacity_Ah,nominal_capacity_Ah
DR687028,DR687028_1,418.5,45.2,95.53,4.12,4.09,32.5,31.8,0,25.0,1,27.98,0.0,1600.0,D,35.0,0.0,0,00,EV_108,SimuProB-3,167812.07,166.37,185.0
DR687028,DR687028_1,417.747,52.1,95.51,4.12,4.08,32.7,31.9,10,38.0,1,27.98,0.0,2600.0,D,42.0,0.0,0,00,EV_108,SimuProB-3,167812.17,166.37,185.0
DR687028,DR687028_1,416.526,-25.5,95.49,4.13,4.07,32.8,32.0,20,12.0,1,27.98,0.012,850.0,D,0.0,65.0,0,00,EV_108,SimuProB-3,167812.21,166.37,185.0
DR687028,DR687028_1,416.887,-12.5,95.48,4.13,4.07,32.9,32.1,30,8.0,1,27.98,0.005,550.0,D,0.0,45.0,0,00,EV_108,SimuProB-3,167812.23,166.37,185.0
DR687028,DR687028_1,415.542,65.3,95.46,4.12,4.06,33.0,32.2,40,18.0,1,27.98,0.0,1250.0,D,55.0,0.0,0,00,EV_108,SimuProB-3,167812.28,166.37,185.0
DR687028,DR687028_1,414.016,82.1,95.42,4.11,4.05,33.2,32.3,50,35.0,1,27.98,0.0,2400.0,D,48.0,0.0,0,00,EV_108,SimuProB-3,167812.38,166.37,185.0
DR687028,DR687028_1,413.304,95.4,95.37,4.11,4.04,33.3,32.4,60,42.0,1,27.98,0.0,2900.0,D,52.0,0.0,0,00,EV_108,SimuProB-3,167812.5,166.37,185.0
DR687028,DR687028_1,413.592,45.2,95.33,4.12,4.06,33.4,32.5,70,25.0,1,27.98,0.0,1750.0,D,15.0,0.0,0,00,EV_108,SimuProB-3,167812.57,166.37,185.0
DR687028,DR687028_1,414.719,-18.5,95.32,4.12,4.06,33.5,32.6,80,8.0,1,27.98,0.005,550.0,D,0.0,60.0,0,00,EV_108,SimuProB-3,167812.59,166.37,185.0
DR687028,DR687028_1,416.272,-25.0,95.31,4.13,4.07,33.6,32.7,90,0.0,1,27.98,0.007,0.0,D,0.0,85.0,0,00,EV_108,SimuProB-3,167812.59,166.37,185.0
DR687028,DR687028_1,413.185,55.0,95.28,4.11,4.05,33.7,32.8,100,12.0,1,27.98,0.0,850.0,D,40.0,0.0,0,00,EV_108,SimuProB-3,167812.62,166.37,185.0
DR687028,DR687028_1,412.097,78.0,95.24,4.1,4.04,33.8,32.9,110,28.0,1,27.98,0.0,1950.0,D,50.0,0.0,0,00,EV_108,SimuProB-3,167812.7,166.37,185.0
DR687028,DR687028_1,411.576,95.0,95.2,4.09,4.03,33.9,33.0,120,45.0,1,27.98,0.0,3200.0,D,60.0,0.0,0,00,EV_108,SimuProB-3,167812.83,166.37,185.0
DR687028,DR687028_1,414.957,-32.0,95.17,4.12,4.06,34.0,33.1,130,15.0,1,27.98,0.008,1050.0,D,0.0,70.0,0,00,EV_108,SimuProB-3,167812.87,166.37,185.0
DR687028,DR687028_1,412.447,65.0,95.15,4.11,4.05,34.1,33.2,140,30.0,1,27.98,0.0,2100.0,D,45.0,0.0,0,00,EV_108,SimuProB-3,167812.95,166.37,185.0
DR687028,DR687028_1,412.319,82.0,95.12,4.1,4.04,34.2,33.3,150,42.0,1,27.98,0.0,3050.0,D,55.0,0.0,0,00,EV_108,SimuProB-3,167813.07,166.37,185.0
DR687028,DR687028_1,415.145,-28.0,95.08,4.13,4.07,34.3,33.4,160,22.0,1,27.98,0.007,1600.0,D,0.0,65.0,0,00,EV_108,SimuProB-3,167813.13,166.37,185.0
DR687028,DR687028_1,411.749,70.0,95.06,4.11,4.05,34.4,33.5,170,38.0,1,27.98,0.0,2750.0,D,48.0,0.0,0,00,EV_108,SimuProB-3,167813.23,166.37,185.0
DR687028,DR687028_1,411.834,75.0,95.02,4.11,4.05,34.5,33.6,180,40.0,1,27.98,0.0,2900.0,D,45.0,0.0,0,00,EV_108,SimuProB-3,167813.34,166.37,185.0
DR687028,DR687028_1,415.47,-35.0,95.01,4.13,4.07,34.5,33.6,190,25.0,1,27.98,0.009,1800.0,D,0.0,60.0,0,00,EV_108,SimuProB-3,167813.41,166.37,185.0
DR687028,DR687028_1,412.399,68.0,94.99,4.11,4.05,34.6,33.7,200,35.0,1,27.98,0.0,2500.0,D,40.0,0.0,0,00,EV_108,SimuProB-3,167813.51,166.37,185.0
DR687028,DR687028_1,411.889,65.0,94.95,4.11,4.05,34.7,33.8,210,33.0,1,27.98,0.0,2350.0,D,38.0,0.0,0,00,EV_108,SimuProB-3,167813.6,166.37,185.0
DR687028,DR687028_1,417.069,-42.0,94.95,4.14,4.08,34.7,33.8,220,15.0,1,27.98,0.011,1050.0,D,0.0,75.0,0,00,EV_108,SimuProB-3,167813.64,166.37,185.0
DR687028,DR687028_1,413.341,55.0,94.92,4.11,4.05,34.8,33.9,230,28.0,1,27.98,0.0,2000.0,D,35.0,0.0,0,00,EV_108,SimuProB-3,167813.72,166.37,185.0
DR687028,DR687028_1,412.277,60.0,94.89,4.11,4.05,34.9,34.0,240,30.0,1,27.98,0.0,2100.0,D,32.0,0.0,0,00,EV_108,SimuProB-3,167813.8,166.37,185.0
DR687028,DR687028_1,416.603,-25.0,94.89,4.14,4.08,35.0,34.1,250,12.0,1,27.98,0.007,850.0,D,0.0,65.0,0,00,EV_108,SimuProB-3,167813.84,166.37,185.0
DR687028,DR687028_1,410.99,85.0,94.84,4.12,4.04,35.1,34.2,260,22.0,1,27.98,0.0,1600.0,D,45.0,0.0,0,00,EV_108,SimuProB-3,167813.9,166.37,185.0
DR687028,DR687028_1,411.895,70.0,94.81,4.13,4.06,35.2,34.3,270,25.0,1,27.98,0.0,1800.0,D,40.0,0.0,0,00,EV_108,SimuProB-3,167813.97,166.37,185.0
DR687028,DR687028_1,415.712,-30.0,94.8,4.14,4.09,35.2,34.3,280,10.0,1,27.98,0.008,700.0,D,0.0,55.0,0,00,EV_108,SimuProB-3,167814.0,166.37,185.0
