rank,car_id,id_segment,charger_connected,n_rows,anomaly_score,quantization_error,is_anomaly,volt_V_mean,current_A_mean,soc_pct_mean,avg_speed_kmh_mean,motor_rpm_mean,min_single_volt_V_mean,max_single_volt_V_mean,min_temp_C_mean,max_temp_C_mean,accelerator_pedal_pct_mean,brake_pedal_pct_mean,regenerative_braking_Ah_mean,actual_max_capacity_Ah_mean
1,EV_066,DR101229_2,0,128,1.0,0.6639953431849145,True,296.47421875,151.2984375,93.003671875,71.709375,2868.375,2.083203125,2.962265625,46.952578125,48.47484375,14.07890625,0.0,0.0,193.72
2,EV_066,DR101229_3,0,128,1.0,0.39656498278337426,True,258.82890625,105.84453125,89.20109375,98.8,3952.0,2.835,3.545,54.220390625,54.420390625,32.9609375,0.0,0.0,193.72
3,EV_105,DR277200_4,0,128,0.9440346385147723,0.4095433974571546,True,389.97965625,16.7484375,69.389453125,10.74609375,929.0625,4.1083984375,4.1219296875,57.58546875,65.0,12.21875,44.875,0.0002734375,195.13
4,EV_109,DR214027_15,0,128,0.9440346385147723,0.41840263892290946,True,374.3921875,31.2984375,73.12796875,17.48828125,1803.90625,4.0704296875,4.0837421875,38.395625,43.516875,21.65625,46.65625,0.0007890625,180.22
5,EV_110,DR412770_2,0,128,0.9440346385147723,0.4323902787448604,True,396.2215859375,39.21328125,84.82125,23.49609375,2297.96875,3.997296875,4.0089375,45.756171875,50.480625,25.515625,41.4765625,0.0012734375,181.09
6,EV_104,DR754088_7,0,128,0.9440346385147723,0.5491725076833578,True,374.7449140625,19.55390625,66.9384375,6.90234375,590.625,4.0528984375,4.0602109375,64.67765625,65.0,9.7734375,66.1328125,0.00010156250000000001,202.74
7,EV_110,DR157642_13,0,128,0.9440346385147723,0.3792913129349654,True,386.995703125,34.19609375,70.859765625,23.8125,2075.78125,3.994921875,4.00884375,57.36671875,57.728203125,25.421875,31.984375,0.000734375,181.09
8,EV_110,DR412770_5,0,128,0.9440346385147723,0.3563486222045183,True,371.55840625,33.01171875,65.457578125,23.98828125,1912.734375,3.9649375,3.9829375000000002,54.050078125,61.285625,23.43359375,33.2890625,0.000765625,181.09
9,EV_110,DR412770_6,0,128,0.9440346385147723,0.3287675195788311,True,358.7329609375,17.14921875,61.883984375,8.259375,657.734375,3.9556796875,3.9700078125,55.4209375,63.339453125,11.125,57.4453125,0.000734375,181.09
10,EV_110,DR412770_7,0,128,0.9440346385147723,0.3686076650854708,True,352.1070390625,14.61796875,59.291640625,8.5078125,1213.671875,3.9782421875000002,3.9896171875,56.8371875,64.90171875,13.7265625,60.01953125,0.00029687500000000005,181.09
11,EV_110,DR157642_12,0,128,0.9440346385147723,0.2824642355124423,True,402.48359375,26.615625,71.683984375,14.76171875,1483.984375,3.9961249999999997,4.0278046875,53.69109375,53.791015625,16.3515625,58.3046875,0.001140625,181.09
12,EV_110,DR157642_10,0,128,0.9440346385147723,0.495766728807756,True,393.07101562500003,26.69140625,76.050234375,8.41796875,627.7421875,3.98359375,4.04515625,62.574140625,65.0,10.625,69.41953125,0.011875,181.09
13,EV_105,DR776635_11,0,128,0.9440346385147723,0.63116354829046,True,353.31765625,26.836875,70.123515625,13.06640625,1527.734375,4.13122109375,4.1388015625,50.73203125,60.802734375,16.4375,63.1015625,0.01940625,195.42
14,EV_104,DR754088_8,0,128,0.9440346385147723,0.6891124423079968,True,373.62884375,14.45390625,63.4740625,6.10546875,669.140625,4.0618203125,4.0676015625,65.0,65.0,5.484375,79.51015625,0.0,202.74
15,EV_109,DR214027_10,0,128,0.9440346385147723,0.26095465617909047,True,378.81796875,26.88125,78.089609375,13.5703125,1373.828125,4.0185625,4.0506484375,53.73515625,64.13609375,16.1015625,55.7578125,0.0020171875,180.22
16,EV_109,DR214027_11,0,128,0.9440346385147723,0.480967149272099,True,359.56875,34.9234375,77.285390625,23.509375,2609.84375,4.0195,4.05071875,57.15734375,65.0,24.359375,38.4296875,0.0025390625,180.22
17,EV_104,DR285168_8,0,113,0.9440346385147723,0.3668925153868153,True,391.47221238938056,22.784955752212387,43.15300884955752,14.761061946902656,1059.0265486725664,4.057522123893805,4.128053097345132,57.755486725663715,59.895398230088496,15.345132743362832,52.97345132743363,0.002849557522123894,184.54
18,EV_105,DR776635_9,0,128,0.9440346385147723,0.4102307480446111,True,341.34515625,20.78046875,71.851796875,16.84765625,2077.9296875,4.1898515625,4.2020546874999996,47.365703125,55.49046875,16.203125,52.625,0.0011875,195.42
